id,company_id,amount,status,created_at,paid_at
0,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-19,
1,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-05-06,
2,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-22,
3,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.61,paid,2019-02-27,2019-02-27
4,cbf1c8b09cd5b549416d49d220a40cbd317f952e,184.49,paid,2019-02-05,2019-02-05
5,cbf1c8b09cd5b549416d49d220a40cbd317f952e,85.27,pending_payment,2019-01-04,
6,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.0,pre_authorized,2019-05-04,
7,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-23,
8,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.61,voided,2019-05-03,
9,cbf1c8b09cd5b549416d49d220a40cbd317f952e,115.84,paid,2019-01-22,2019-01-22
10,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-02,
11,cbf1c8b09cd5b549416d49d220a40cbd317f952e,81.33,paid,2019-01-12,2019-01-12
12,cbf1c8b09cd5b549416d49d220a40cbd317f952e,230.27,paid,2019-03-29,2019-03-29
13,cbf1c8b09cd5b549416d49d220a40cbd317f952e,117.88,paid,2019-05-18,2019-05-18
14,cbf1c8b09cd5b549416d49d220a40cbd317f952e,73.76,voided,2019-01-10,
15,cbf1c8b09cd5b549416d49d220a40cbd317f952e,364.46,pending_payment,2019-01-11,
16,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-16,
17,cbf1c8b09cd5b549416d49d220a40cbd317f952e,64.36,paid,2019-04-16,2019-04-16
18,cbf1c8b09cd5b549416d49d220a40cbd317f952e,166.65,pending_payment,2019-05-10,
19,cbf1c8b09cd5b549416d49d220a40cbd317f952e,42.2,voided,2019-01-03,
20,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.82,paid,2019-03-04,2019-03-04
21,cbf1c8b09cd5b549416d49d220a40cbd317f952e,163.49,paid,2019-04-03,2019-04-03
22,cbf1c8b09cd5b549416d49d220a40cbd317f952e,188.7,paid,2019-05-10,2019-05-10
23,cbf1c8b09cd5b549416d49d220a40cbd317f952e,59.75,voided,2019-01-15,
24,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.98,paid,2019-01-02,2019-01-02
25,cbf1c8b09cd5b549416d49d220a40cbd317f952e,158.33,paid,2019-04-11,2019-04-11
26,cbf1c8b09cd5b549416d49d220a40cbd317f952e,152.34,pending_payment,2019-03-01,
27,cbf1c8b09cd5b549416d49d220a40cbd317f952e,51.44,paid,2019-03-01,2019-03-01
28,cbf1c8b09cd5b549416d49d220a40cbd317f952e,49.47,paid,2019-01-02,2019-01-02
